Usage statistics from between 23:00 and 04:00 each day
,HS Main (kWh),HS MWSB Main (kVARh),HS MWSB Main (kVAh),HS DHB Plugload (kWh),HS DL Lighting (kWh),HS DG Gym (kWh),HS-Kitchen Emergency (kWh),HS DE Kitchen- Emergency (kVARh),HS DE Kitchen- Emergency (kVAh),HS PBA AHU1- 4  (KWh),HS M1 Chillers (kWh),HS CC (kWh),HS CC (kVARh),HS CC (kVAh),HS Gas (100 Cu Ft)
2016-12-30,600.0,596.0,845.0,37.70000000001164,103.40000000002328,81.70000000006985,263.9000000000233,110.60000000000582,287.0,,0.0,121.09999999997672,203.20000000001164,237.79999999993015,6.0
2016-12-31,538.0,530.0,757.0,40.80000000001746,103.59999999997672,178.0,139.60000000009313,50.79999999998836,149.59999999997672,,0.059999999997671694,91.0,168.5,192.39999999990687,0.0
2017-01-01,598.0,578.0,832.0,37.09999999997672,104.40000000002328,109.5,276.0,123.70000000001164,303.19999999995343,,0.0,89.79999999998836,162.70000000001164,187.59999999997672,8.0
2017-01-02,545.0,509.0,747.0,46.0,104.20000000006985,184.30000000004657,151.59999999997672,55.09999999997672,162.30000000004657,,0.08999999999650754,56.90000000002328,138.59999999997672,150.40000000002328,0.0
2017-01-03,458.0,462.0,652.0,42.20000000001164,118.09999999997672,115.30000000004657,142.80000000004657,53.89999999999418,153.69999999995343,,0.11000000000058208,51.600000000034925,139.5,149.09999999997672,0.0
2017-01-04,706.0,579.0,916.0,40.20000000001164,114.40000000002328,104.90000000002328,272.9000000000233,114.70000000001164,296.70000000006985,,0.01999999999679858,194.60000000003492,201.0,283.80000000004657,6.0
2017-01-05,590.0,557.0,813.0,37.5,119.90000000002328,86.29999999993015,254.0,110.10000000000582,277.5999999999767,,0.0,109.19999999995343,178.5,213.0,5.0
2017-01-06,710.0,609.0,938.0,38.5,108.0,97.59999999997672,263.4000000000233,125.5,292.5,,0.0,221.79999999998836,214.20000000001164,314.9000000000233,7.0
2017-01-07,776.0,648.0,1013.0,38.5,103.90000000002328,179.5,259.9000000000233,111.80000000001746,283.5,,0.0,216.10000000003492,223.20000000001164,315.9000000000233,10.0
2017-01-08,852.0,676.0,1088.0,40.10000000000582,108.20000000006985,192.0,259.0999999999767,111.5,282.80000000004657,,0.0,260.1000000000349,249.69999999995343,363.70000000006985,11.0
2017-01-09,779.0,618.0,996.0,39.20000000001164,112.0,167.30000000004657,276.89999999990687,127.60000000000582,305.5,,0.0,205.19999999995343,211.0,299.0999999999767,8.0
2017-01-10,529.0,514.0,739.0,43.59999999997672,116.80000000004657,116.29999999993015,142.70000000006985,51.20000000001164,152.59999999997672,,0.1300000000046566,124.69999999995343,197.0,234.10000000009313,1.0
2017-01-11,466.0,485.0,675.0,39.19999999998254,120.5,96.59999999997672,150.20000000006985,50.10000000000582,159.5,,0.08999999999650754,73.70000000001164,168.59999999997672,184.19999999995343,0.0
2017-01-12,452.0,492.0,671.0,40.29999999998836,120.70000000006985,82.40000000002328,143.09999999997672,52.70000000001164,153.5,,0.12000000000261934,77.70000000001164,167.09999999997672,184.30000000004657,0.0
2017-01-13,598.0,572.0,827.0,39.69999999998254,104.89999999990687,117.79999999993015,269.69999999995343,123.29999999998836,297.19999999995343,,0.0,83.5,179.59999999997672,198.5,7.0
2017-01-14,565.0,583.0,812.0,38.5,103.20000000006985,77.0,248.59999999997672,108.59999999997672,272.0,,0.0,113.70000000001164,204.90000000002328,237.20000000006985,6.0
2017-01-15,616.0,589.0,852.0,39.20000000001164,104.69999999995343,139.29999999993015,279.69999999995343,131.39999999999418,309.69999999995343,,0.0,72.10000000003492,171.29999999993015,186.19999999995343,9.0
2017-01-16,617.0,560.0,833.0,39.79999999998836,102.5,146.5,270.5,110.10000000000582,293.0,,0.0,73.70000000001164,169.0,184.79999999993015,8.0
2017-01-17,552.0,542.0,775.0,39.70000000001164,112.80000000004657,88.79999999993015,255.5,108.10000000000582,278.29999999993015,,0.049999999995634425,72.60000000003492,168.59999999997672,183.90000000002328,3.0
2017-01-18,557.0,540.0,777.0,40.19999999998254,111.30000000004657,97.10000000009313,252.5,107.70000000001164,275.4000000000233,,0.0,72.79999999998836,168.30000000004657,183.59999999997672,4.0
2017-01-19,620.0,566.0,841.0,40.0,119.30000000004657,117.59999999997672,267.20000000006985,111.39999999999418,290.19999999995343,,0.010000000002037268,95.40000000002328,195.19999999995343,217.5,6.0
