Usage statistics start at 05:00 each day
,HS Main (kWh),HS DHB Plugload (kWh),HS DL Lighting (kWh),HS-Kitchen Emergency (kWh),HS DG Gym (kWh),HS PBA AHU1- 4  (KWh),HS M1 Chillers (kWh),HS CC (kWh),HS Gas (100 Cu Ft)
2016-12-30,1253.0,74.5,210.69999999995343,528.0999999999767,230.70000000006985,,0.0,234.29999999998836,12.0
2016-12-31,3001.0,185.5,508.10000000009313,1057.7000000000698,757.0999999999767,,0.3499999999985448,540.8000000000466,25.0
2017-01-01,2843.0,183.20000000001164,537.2999999999302,1074.7999999999302,694.0999999999767,,0.31999999999970896,437.6000000000349,33.0
2017-01-02,3796.0,196.60000000000582,512.1999999999534,901.5999999999767,958.1999999999534,,0.4499999999970896,1237.8000000000466,14.0
2017-01-03,5505.0,531.7000000000116,1531.3000000000466,1348.4000000000233,1504.5999999999767,,0.5100000000020373,556.7000000000116,56.0
2017-01-04,6085.0,590.5,1540.0,1485.4000000000233,1389.2000000000698,,0.43000000000029104,1048.2000000000116,55.0
2017-01-05,6139.0,563.0,1480.0999999999767,1651.4000000000233,1234.5,,0.16000000000349246,1153.399999999965,64.0
2017-01-06,6089.0,546.7999999999884,1424.9000000000233,1667.0,1338.5,,0.09999999999854481,1039.600000000035,71.0
2017-01-07,3493.0,181.80000000001746,501.5999999999767,1224.1999999999534,741.5999999999767,,0.0,941.2999999999884,48.0
2017-01-08,4427.0,186.79999999998836,561.0,1243.7000000000698,941.3999999999069,,0.0,1586.2999999999884,57.0
2017-01-09,6896.0,542.5,1465.0999999999767,1729.0,1458.1000000000931,,0.0,1711.2000000000116,89.0
2017-01-10,6262.0,538.1000000000058,1547.7000000000698,1474.6999999999534,1488.7000000000698,,0.5099999999947613,1214.1999999999534,66.0
2017-01-11,5915.0,570.7999999999884,1557.2000000000698,1215.0,1348.5999999999767,,0.6600000000034925,1150.7999999999884,33.0
2017-01-12,5524.0,535.5,1534.8000000000466,1126.5999999999767,1369.3999999999069,,16.31999999999971,847.8999999999651,19.0
2017-01-13,6124.0,517.7000000000116,1480.5,1527.1999999999534,1349.1999999999534,,0.3499999999985448,1163.100000000035,52.0
