Usage statistics start at 05:00 each day
,HS Kitchen Emergency (kWh),HS DG Gym (kWh),HS Plugload DBH (kWh),HS DL Lighting (kWh),HS Main (kWh),HS CC Collins Center (kWh),HS M1 Chillers (kWh)
2017-12-30,506.29999999993015,286.19999999995343,93.0,300.0,1595.0,426.4000000000233,0.0
2017-12-31,1225.5,787.2000000000698,231.10000000003492,610.0,4027.0,1215.5,0.0
2018-01-01,1356.5,1017.5,295.5999999999767,641.0,4566.0,1276.5,0.0
2018-01-02,1785.9000000000233,1599.6999999999534,579.2000000000116,1418.0,6945.0,1376.3000000000466,0.0
2018-01-03,1708.4000000000233,1549.0,576.5999999999767,1452.0,6689.0,1290.5,11.430000000007567
2018-01-04,1335.0,1251.4000000000233,208.40000000002328,535.0,4305.0,892.0999999999767,15.180000000007567
2018-01-05,1386.5,1229.0,211.20000000001164,523.0,4505.0,1108.5,7.490000000005239
2018-01-06,1360.1999999999534,875.0999999999767,216.40000000002328,514.0,4594.0,1730.5,0.0
2018-01-07,1363.3000000000466,1073.5999999999767,216.10000000003492,620.0,4575.0,1354.0999999999767,0.0
2018-01-08,1636.2000000000698,1556.2999999999302,535.7999999999884,1502.0,6326.0,1138.7000000000698,12.139999999999418
2018-01-09,1568.2000000000698,1446.4000000000233,543.3000000000466,1459.0,5943.0,953.6000000000931,15.380000000004657
2018-01-10,1610.6999999999534,1434.2999999999302,600.3999999999651,1399.0,6089.0,1068.5999999999767,15.710000000006403
2018-01-11,1227.7999999999302,1431.0999999999767,566.3999999999651,1416.0,5435.0,799.3000000000466,15.669999999998254
2018-01-12,1083.0999999999767,1363.0,535.5,1413.0,5312.0,899.1999999999534,27.619999999995343
2018-01-13,1105.5,574.5,189.5,451.0,2736.0,475.20000000006985,15.020000000004075
2018-01-14,1332.0,648.1999999999534,187.79999999998836,520.0,4079.0,1466.1000000000931,13.910000000003492
2018-01-15,1332.2999999999302,687.9000000000233,197.90000000002328,468.0,3570.0,902.4000000000233,0.0
2018-01-16,1646.5999999999767,1422.0,555.0999999999767,1545.0,6207.0,1071.3000000000466,12.14999999999418
2018-01-17,1266.6999999999534,946.9000000000233,196.20000000001164,540.0,3705.0,755.2000000000698,15.410000000003492
2018-01-18,1729.0,1313.3000000000466,596.5,1416.0,6066.0,1008.5,15.5
2018-01-19,1624.0,1393.0999999999767,530.5,1403.0,5846.0,923.5999999999767,15.490000000005239
2018-01-20,939.2999999999302,533.4000000000233,192.29999999998836,459.0,2760.0,694.5999999999767,15.380000000004657
2018-01-21,942.3000000000466,499.4000000000233,191.29999999998836,498.0,2882.0,809.4000000000233,15.39999999999418
