Label,Facility,Temperature,CO2,Wing
116,ahs,3001071,,
137,ahs,3011595,3011592,
138,ahs,3001201,,
139,ahs,3011582,3011579,
201,ahs,3006664,3006672,B
203,ahs,3006616,3006624,B
205,ahs,3006578,3006586,B
207,ahs,3006552,3006560,B
209,ahs,3007272,3007275,B
211,ahs,3019361,3019364,B
215,ahs,3019554,3019557,B
222,ahs,3007505,3007508,C
224,ahs,3019080,3019083,C
225,ahs,3007894,3007897,C
226,ahs,3007633,3007636,C
227,ahs,3008194,3008197,C
228,ahs,3019597,3019600,C
230,ahs,3007938,3007941,C
232,ahs,3019412,3019415,C
237,ahs,3019317,3019320,D
241,ahs,3019266,3019269,D
243,ahs,3019035,3019038,D
245,ahs,3019170,3019173,D
247,ahs,3019126,3019129,D
249,ahs,3009875,3009878,D
251,ahs,3010431,3010434,D
253,ahs,3010481,3010484,D
255A&B,ahs,3011366,3011369,D
260A,ahs,3001161,,A
260B,ahs,3001177,,A
264A,ahs,3001515,3001503,A
264B,ahs,3001640,3001628,A
267,ahs,3011148,3011151,Middle
271,ahs,3010274,3010277,Middle
272,ahs,3009826,3009829,Middle
273,ahs,3009777,3009780,Middle
301,ahs,3002974,3002981,B
303,ahs,3002985,,B
305,ahs,3002964,3002965,B
307,ahs,3002996,3003003,B
309,ahs,3003007,3003014,B
310,ahs,3001090,,B
311,ahs,3003018,3003025,B
313,ahs,3003029,3003036,B
320,ahs,3006123,3006131,C
323,ahs,3006152,3006160,C
325,ahs,3006189,3006197,C
326,ahs,3006238,3006246,C
328,ahs,3006347,3006355,C
335,ahs,3001848,3001836,D
337,ahs,3001822,3001810,D
339,ahs,3001796,3001784,D
341,ahs,3001770,3001758,D
343,ahs,3001744,3001732,D
345,ahs,3001718,3001706,D
347,ahs,3001692,3001680,D
349,ahs,3001666,3001654,D
351,ahs,3001489,3001477,D
353,ahs,3001463,3001451,A
355,ahs,3020712,,A
357,ahs,3001437,3001425,A
359,ahs,3001411,3001399,A
361,ahs,3001385,3001373,A
363,ahs,3001359,3001347,A
365,ahs,3001333,3001321,A
367,ahs,3001307,3001295,A
369,ahs,3001281,3001269,A
370,ahs,3001255,3001243,A
373,ahs,3001935,3001933,Middle
375.01,ahs,3003049,3003056,Middle
375.02,ahs,3019714,3019750,Middle
377,ahs,3006431,3006439,Middle
377.01,ahs,3001221,3019751,Middle
379,ahs,3001900,3001888,Middle
381,ahs,3001874,3001862,Middle
Guidance,ahs,3001145,,A
Kit Conf,ahs,3001532,,
Kit Office,ahs,3001549,,
Principal Office,ahs,3001914,,A
Outside Air,ahs,3001015,3014200,
Field House NW,ahs,3014141,3013697,
Field House SW,ahs,3013693,3014144,
Field House SE,ahs,3013760,3013764,
Field House NE,ahs,3015226,3015232,
Dunn Gym ,ahs,3000663,3000638,
Locker Rooms,ahs,3000622,,
Athletic Director,ahs,3001127,,
Arts & Ceramic,ahs,3000413,,
CADD & Graphics,ahs,3000365,,
Main Lobby,ahs,3000213,,
Computer Office ,ahs,3000522,,
Admin Office,ahs,3000476,,
CC Scene Shop,ahs,3002109,3002114,
CC  Entry Hall & Common,ahs,3002081,3002086,
CC Stage,ahs,3002053,3002058,
CC Seating,ahs,3002025,3002030,
CC Band & Choral ZN1,ahs,3001988,3001996,
CC Band & Choral ZN2,ahs,3001988,,
CC Multizone ZN1,ahs,3001942,3001952,
CC Multizone ZN2,ahs,3001943,,
CC Multizone ZN3,ahs,3001944,,
CC Multizone ZN4,ahs,3001945,,
