"Date / Time","Units","Facility","UID","Value",
2018-08-06 14:04:33.209585,deg F,ahs,116,72,
2018-08-06 14:04:36.245548,deg F,ahs,137,73,
2018-08-06 14:04:37.919898,deg F,ahs,138,76,
2018-08-06 14:04:40.787410,deg F,ahs,139,78,
2018-08-06 14:04:43.816930,deg F,ahs,201,84,
2018-08-06 14:04:46.848980,deg F,ahs,203,85,
2018-08-06 14:04:49.881559,deg F,ahs,205,87,
2018-08-06 14:04:52.922783,deg F,ahs,207,76,
2018-08-06 14:04:55.938478,deg F,ahs,209,83,
2018-08-06 14:04:59.014456,deg F,ahs,211,73,
2018-08-06 14:05:01.999029,deg F,ahs,215,85,
2018-08-06 14:05:05.035285,deg F,ahs,222,77,
2018-08-06 14:05:08.046555,deg F,ahs,224,78,
2018-08-06 14:05:11.176590,deg F,ahs,225,76,
2018-08-06 14:05:14.251939,deg F,ahs,226,78,
2018-08-06 14:05:17.249977,deg F,ahs,227,76,
2018-08-06 14:05:20.260707,deg F,ahs,228,78,
2018-08-06 14:05:23.369573,deg F,ahs,230,79,
2018-08-06 14:05:26.399714,deg F,ahs,232,80,
2018-08-06 14:05:29.629604,deg F,ahs,237,79,
2018-08-06 14:05:32.658145,deg F,ahs,241,72,
2018-08-06 14:05:35.785985,deg F,ahs,243,79,
2018-08-06 14:05:38.813841,deg F,ahs,245,79,
2018-08-06 14:05:41.921523,deg F,ahs,247,79,
2018-08-06 14:05:44.870901,deg F,ahs,249,76,
2018-08-06 14:05:48.048686,deg F,ahs,251,77,
2018-08-06 14:05:51.116740,deg F,ahs,253,77,
2018-08-06 14:05:54.075462,deg F,ahs,255A&B,82,
2018-08-06 14:05:55.573859,deg F,ahs,260A,73,
2018-08-06 14:05:57.113720,deg F,ahs,260B,74,
2018-08-06 14:06:00.113004,deg F,ahs,264A,83,
2018-08-06 14:06:03.141184,deg F,ahs,264B,83,
2018-08-06 14:06:06.169618,deg F,ahs,267,80,
2018-08-06 14:06:09.296180,deg F,ahs,271,79,
2018-08-06 14:06:12.323835,deg F,ahs,272,80,
2018-08-06 14:06:15.351754,deg F,ahs,273,80,
2018-08-06 14:06:18.380290,deg F,ahs,301,83,
2018-08-06 14:06:19.894572,deg F,ahs,303,84,
2018-08-06 14:06:22.925603,deg F,ahs,305,83,
2018-08-06 14:06:25.995029,deg F,ahs,307,85,
2018-08-06 14:06:28.981914,deg F,ahs,309,85,
2018-08-06 14:06:30.596202,deg F,ahs,310,76,
2018-08-06 14:06:33.627050,deg F,ahs,311,86,
2018-08-06 14:06:36.656547,deg F,ahs,313,86,
2018-08-06 14:06:39.695665,deg F,ahs,320,83,
2018-08-06 14:06:42.721527,deg F,ahs,323,81,
2018-08-06 14:06:45.762582,deg F,ahs,325,82,
2018-08-06 14:06:48.776200,deg F,ahs,326,86,
