"Date / Time","Name Path Reference","Object Name","Object Value",

07/24/2018 10:17:30,deg F,ahs-116,77,
07/24/2018 10:17:36,deg F,ahs-137,73,
07/24/2018 10:17:41,deg F,ahs-138,74,
07/24/2018 10:17:48,deg F,ahs-139,76,
07/24/2018 10:17:57,deg F,ahs-201,82,
07/24/2018 10:18:04,deg F,ahs-203,83,
07/24/2018 10:18:13,deg F,ahs-205,84,
07/24/2018 10:18:20,deg F,ahs-207,74,
07/24/2018 10:18:28,deg F,ahs-209,82,
07/24/2018 10:18:35,deg F,ahs-211,80,
07/24/2018 10:18:43,deg F,ahs-215,83,
07/24/2018 10:18:52,deg F,ahs-222,76,
07/24/2018 10:18:58,deg F,ahs-224,79,
07/24/2018 10:19:06,deg F,ahs-225,74,
07/24/2018 10:19:15,deg F,ahs-226,78,
07/24/2018 10:19:21,deg F,ahs-227,75,
07/24/2018 10:19:30,deg F,ahs-228,78,
07/24/2018 10:19:37,deg F,ahs-230,79,
07/24/2018 10:19:45,deg F,ahs-232,78,
07/24/2018 10:19:53,deg F,ahs-237,77,
07/24/2018 10:20:00,deg F,ahs-241,73,
07/24/2018 10:20:06,deg F,ahs-243,78,
07/24/2018 10:20:09,deg F,ahs-245,78,
07/24/2018 10:20:14,deg F,ahs-247,78,
07/24/2018 10:20:17,deg F,ahs-249,76,
07/24/2018 10:20:21,deg F,ahs-251,76,
07/24/2018 10:20:24,deg F,ahs-253,76,
07/24/2018 10:20:29,deg F,ahs-255A&B,78,
07/24/2018 10:20:30,deg F,ahs-260A,73,
07/24/2018 10:20:32,deg F,ahs-260B,74,
07/24/2018 10:20:36,deg F,ahs-264A,80,
07/24/2018 10:20:39,deg F,ahs-264B,80,
07/24/2018 10:20:44,deg F,ahs-267,80,
07/24/2018 10:20:49,deg F,ahs-271,79,
07/24/2018 10:20:52,deg F,ahs-272,80,
07/24/2018 10:20:58,deg F,ahs-273,79,
07/24/2018 10:21:01,deg F,ahs-301,79,
07/24/2018 10:21:02,deg F,ahs-303,82,
07/24/2018 10:21:07,,ahs-305,,
07/24/2018 10:21:10,deg F,ahs-307,83,
07/24/2018 10:21:16,deg F,ahs-309,83,
07/24/2018 10:21:17,deg F,ahs-310,80,
07/24/2018 10:21:20,deg F,ahs-311,83,
07/24/2018 10:21:23,deg F,ahs-313,83,
07/24/2018 10:21:26,deg F,ahs-320,82,
07/24/2018 10:21:29,deg F,ahs-323,78,
07/24/2018 10:21:32,deg F,ahs-325,79,
07/24/2018 10:21:35,deg F,ahs-326,83,
07/24/2018 10:21:39,deg F,ahs-328,84,
07/24/2018 10:21:41,deg F,ahs-335,79,
07/24/2018 10:21:44,deg F,ahs-337,81,
07/24/2018 10:21:48,deg F,ahs-339,84,
07/24/2018 10:21:54,deg F,ahs-341,81,
07/24/2018 10:21:57,deg F,ahs-343,79,
07/24/2018 10:22:00,deg F,ahs-345,79,
07/24/2018 10:22:04,deg F,ahs-347,79,
07/24/2018 10:22:07,deg F,ahs-349,79,
07/24/2018 10:22:12,deg F,ahs-351,79,
07/24/2018 10:22:18,deg F,ahs-353,82,
07/24/2018 10:22:19,deg F,ahs-355,78,
07/24/2018 10:22:22,deg F,ahs-357,81,
07/24/2018 10:22:25,deg F,ahs-359,80,
07/24/2018 10:22:28,deg F,ahs-361,78,
07/24/2018 10:22:33,deg F,ahs-363,80,
07/24/2018 10:22:36,deg F,ahs-365,80,
07/24/2018 10:22:39,,ahs-367,,
07/24/2018 10:22:42,deg F,ahs-369,80,
07/24/2018 10:22:45,deg F,ahs-370,80,
07/24/2018 10:22:48,deg F,ahs-373,73,
07/24/2018 10:22:59,deg F,ahs-375.01,75,
07/24/2018 10:23:02,deg F,ahs-375.02,72,
07/24/2018 10:23:05,deg F,ahs-377,74,
07/24/2018 10:23:08,deg F,ahs-377.01,72,
07/24/2018 10:23:11,deg F,ahs-379,79,
07/24/2018 10:23:14,,ahs-381,,
07/24/2018 10:23:15,deg F,ahs-Guidance,71,
07/24/2018 10:23:17,deg F,ahs-Kit Conf,79,
07/24/2018 10:23:18,deg F,ahs-Kit Office,78,
07/24/2018 10:23:20,deg F,ahs-Principal Office,71,
07/24/2018 10:23:23,deg F,ahs-Outside Air,84,
07/24/2018 10:23:26,deg F,ahs-Field House NW,80,
07/24/2018 10:23:29,deg F,ahs-Field House SW,79,
07/24/2018 10:23:32,deg F,ahs-Field House SE,82,
07/24/2018 10:23:35,deg F,ahs-Field House NE,80,
07/24/2018 10:23:40,deg F,ahs-Dunn Gym ,82,
07/24/2018 10:23:43,deg F,ahs-Locker Rooms,79,
07/24/2018 10:23:46,deg F,ahs-Athletic Director,81,
07/24/2018 10:23:49,deg F,ahs-Arts & Ceramic,78,
07/24/2018 10:23:52,deg F,ahs-CADD & Graphics,78,
07/24/2018 10:23:55,deg F,ahs-Main Lobby,81,
07/24/2018 10:23:58,deg F,ahs-Computer Office ,80,
07/24/2018 10:24:01,deg F,ahs-Admin Office,73,
07/24/2018 10:24:07,deg F,ahs-CC Scene Shop,73,
07/24/2018 10:24:13,deg F,ahs-CC  Entry Hall & Common,73,
07/24/2018 10:24:19,deg F,ahs-CC Stage,73,
07/24/2018 10:24:25,deg F,ahs-CC Seating,74,
07/24/2018 10:24:31,deg F,ahs-CC Band & Choral ZN1,73,
07/24/2018 10:24:34,deg F,ahs-CC Band & Choral ZN2,73,
07/24/2018 10:24:40,deg F,ahs-CC Multizone ZN1,73,
07/24/2018 10:24:43,deg F,ahs-CC Multizone ZN2,75,
07/24/2018 10:24:46,noUnits,ahs-CC Multizone ZN3,75,
07/24/2018 10:24:49,noUnits,ahs-CC Multizone ZN4,74,
